timestamp.0,integration_long.0,integration_long.1,integration_long.2,integration_long.3,integration_long.4,integration_long.5,integration_long.6,integration_long.7,integration_long.8,integration_long.9,integration_long.10,integration_long.11,integration_long.12,integration_long.13,integration_long.14,integration_long.15,integration_short.0,integration_short.1,integration_short.2,integration_short.3,integration_short.4,integration_short.5,integration_short.6,integration_short.7,integration_short.8,integration_short.9,integration_short.10,integration_short.11,integration_short.12,integration_short.13,integration_short.14,integration_short.15,
0.00507604,,5173.02,,,,,,,,,,,,,,,,3647.13,,,,,,,,,,,,,,,
0.0050771,,5169.57,,,,,,,,,,,,,,,,1794.7,,,,,,,,,,,,,,,
0.00507791,,2776.71,,,,,,,,,,,,,,,,2262.52,,,,,,,,,,,,,,,
0.00508817,,3923.47,,,,,,,,,,,,,,,,2385.29,,,,,,,,,,,,,,,
0.00511027,,20540.9,,,,,,,,,,,,,,,,13586.4,,,,,,,,,,,,,,,
0.00513368,,14382.4,,,,,,,,,,,,,,,,9325.24,,,,,,,,,,,,,,,
0.00514532,,19377.7,,,,,,,,,,,,,,,,10396.3,,,,,,,,,,,,,,,
0.00514644,,3050.4,,,,,,,,,,,,,,,,1668.62,,,,,,,,,,,,,,,
0.00515027,,3659.4,,,,,,,,,,,,,,,,2283,,,,,,,,,,,,,,,
0.00515491,,3116.64,,,,,,,,,,,,,,,,1889.21,,,,,,,,,,,,,,,
0.00515637,,6862.88,,,,,,,,,,,,,,,,4364.42,,,,,,,,,,,,,,,
0.00516154,,9945.4,,,,,,,,,,,,,,,,6310.64,,,,,,,,,,,,,,,
0.00517385,,7517.6,,,,,,,,,,,,,,,,4819.24,,,,,,,,,,,,,,,
0.00517469,,3764.62,,,,,,,,,,,,,,,,2893.99,,,,,,,,,,,,,,,
0.00518381,,4239.79,,,,,,,,,,,,,,,,2846.43,,,,,,,,,,,,,,,
0.00519045,,8127.62,,,,,,,,,,,,,,,,5116.38,,,,,,,,,,,,,,,
0.00519209,,5398.68,,,,,,,,,,,,,,,,3463.64,,,,,,,,,,,,,,,
0.00519298,,33354.5,,,,,,,,,,,,,,,,22531.8,,,,,,,,,,,,,,,
0.00519531,,5341.91,,,,,,,,,,,,,,,,3757.97,,,,,,,,,,,,,,,
0.00520293,,9237.98,,,,,,,,,,,,,,,,5957.25,,,,,,,,,,,,,,,
0.00520412,,1170.16,,,,,,,,,,,,,,,,1962.78,,,,,,,,,,,,,,,
0.00520508,,15547.6,,,,,,,,,,,,,,,,10257.2,,,,,,,,,,,,,,,
0.0052064,,2858.81,,,,,,,,,,,,,,,,2172.4,,,,,,,,,,,,,,,
0.00521013,,3550.84,,,,,,,,,,,,,,,,1960.22,,,,,,,,,,,,,,,
0.00521321,,7618.43,,,,,,,,,,,,,,,,4699.48,,,,,,,,,,,,,,,
0.00521422,,11098.2,,,,,,,,,,,,,,,,7253.98,,,,,,,,,,,,,,,
0.00522484,,4996.03,,,,,,,,,,,,,,,,2176.41,,,,,,,,,,,,,,,
0.00522941,,9695.29,,,,,,,,,,,,,,,,6089.61,,,,,,,,,,,,,,,
0.00523301,,5779.1,,,,,,,,,,,,,,,,3416.61,,,,,,,,,,,,,,,
0.00524067,,6647.08,,,,,,,,,,,,,,,,4359.77,,,,,,,,,,,,,,,
0.00524855,,9349.66,,,,,,,,,,,,,,,,4365.34,,,,,,,,,,,,,,,
0.00525399,,8523.4,,,,,,,,,,,,,,,,5347.5,,,,,,,,,,,,,,,
0.00526489,,2663.62,,,,,,,,,,,,,,,,1893.73,,,,,,,,,,,,,,,
0.00527025,,5365.09,,,,,,,,,,,,,,,,3253.19,,,,,,,,,,,,,,,
0.00527101,,10352.6,,,,,,,,,,,,,,,,3209.29,,,,,,,,,,,,,,,
0.00527831,,18669.2,,,,,,,,,,,,,,,,12275.2,,,,,,,,,,,,,,,
0.00528199,,4582.77,,,,,,,,,,,,,,,,2246.12,,,,,,,,,,,,,,,
0.00528526,,5573.98,,,,,,,,,,,,,,,,1912.17,,,,,,,,,,,,,,,
